Date,Task,Time Started,Time Ended
mouthLowerDown_R,mouthDimple_L,mouthDimple_R,mouthSmile_L,eyeLookDown_L,jawRight,mouthPress_L,noseSneer_L,mouthSmile_R,mouthLowerDown_L,mouthPress_R,eyeBlink_L,mouthRight,eyeLookOut_L,browOuterUp_R,browDown_L,eyeBlink_R,jawOpen,eyeLookIn_R,eyeSquint_L,mouthFrown_R,mouthLeft,jawLeft,mouthRollUpper,browInnerUp,mouthPucker,eyeWide_L,mouthStretch_L,tongueOut,browOuterUp_L,mouthShrugLower,mouthStretch_R,eyeLookDown_R,eyeLookOut_R,eyeLookIn_L,mouthShrugUpper,jawForward,eyeWide_R,mouthUpperUp_R,cheekPuff,noseSneer_R,browDown_R,mouthUpperUp_L,eyeLookUp_L,mouthRollLower,cheekSquint_L,cheekSquint_R,mouthFrown_L,mouthFunnel,eyeSquint_R,mouthClose,eyeLookUp_R
,0.2348175,0.03258222,0.03718241,0.1467924,0.1842639,0.04521618,0.02946465,0.1466967,0.1398778,0.2447691,0.03126307,0.1584701,0.005266187,0,0,0.5113621,0.1584509,0.01802967,0.03827928,0.1916148,0,0.01766263,0,0.02262302,0.03264827,0.1730868,0,0.1063975,1.434611e-06,0,0.09036402,0.1024192,0.1834212,0,0.0914726,0.4501741,0.02321885,0,0.1323305,0.01553884,0.1372879,0.5111312,0.1329941,0,0.01744957,0.09631536,0.1004803,0,0.1450786,0.1916098,0.01548213,0
,0.2390201,0.03217134,0.0364445,0.1425717,0.1656688,0.04540762,0.02893277,0.1494701,0.1357989,0.2490619,0.03075175,0.1378244,0.004833216,0,0,0.5263646,0.1378131,0.01855676,0.02968874,0.2039001,0,0.01864258,0,0.02275505,0.03193121,0.1807709,0,0.10654,7.785503e-07,0,0.09108526,0.1025257,0.1648782,0,0.1003397,0.4513254,0.0232604,0,0.1331241,0.01522216,0.1382049,0.5261335,0.1338712,0,0.01724747,0.09668025,0.1002393,0,0.1466805,0.2038964,0.01559652,0
,0.2484528,0.0317435,0.03570901,0.1404761,0.1419608,0.0456685,0.02843569,0.1552988,0.1321676,0.2590819,0.03026035,0.1152115,0.004440929,0,0,0.5340531,0.1149944,0.01906777,0.02911979,0.2235198,0,0.01943586,0,0.02293924,0.03126627,0.1844609,0,0.106669,7.492304e-07,0,0.09141053,0.1025995,0.1411429,0,0.1014054,0.451279,0.02335194,0,0.1335083,0.0149295,0.1411773,0.5338106,0.1343674,0,0.01708687,0.09710643,0.1001002,0,0.1477701,0.2235034,0.01573911,0
,0.2741849,0.03117354,0.03450491,0.139533,0.1300891,0.04609746,0.02784274,0.1578886,0.1306561,0.2864446,0.02965326,0.1048567,0.004083213,0,0,0.5368936,0.1046385,0.01972918,0.03711412,0.2328595,0,0.01973183,0,0.02318777,0.03065315,0.1846337,0,0.1067476,9.187009e-07,0,0.08947307,0.1027327,0.1292057,0,0.09337855,0.4512338,0.02357559,0,0.1335197,0.01461719,0.1425606,0.5366127,0.1344662,0,0.01694201,0.09712465,0.09971093,0,0.1492267,0.2328386,0.01599558,0
,0.2822657,0.0305649,0.03339316,0.1391138,0.1198661,0.04667338,0.02720419,0.1594898,0.1297589,0.2951797,0.02898483,0.08231954,0.003755774,0,0,0.5377233,0.08189283,0.02091216,0.03910201,0.2408506,0,0.01940553,0,0.02351483,0.03013576,0.1796818,0,0.1068775,1.21335e-06,0,0.08412807,0.1030031,0.1189632,0,0.09115797,0.4513267,0.0238731,0,0.1332495,0.01428915,0.1434915,0.5373883,0.1342801,0,0.0168289,0.09695928,0.09927554,0,0.1499323,0.2408063,0.01637609,0
,0.2866431,0.02991369,0.03225245,0.1395357,0.120369,0.04719035,0.02654195,0.1599027,0.1300346,0.299807,0.02827847,0.05544745,0.003455378,0,0,0.5377973,0.05499056,0.02233637,0.04080854,0.244734,0,0.01798897,0,0.02391789,0.0296714,0.1783066,0,0.1071039,1.207856e-06,0,0.07816416,0.1034302,0.1194563,0,0.08947717,0.4461146,0.02417667,0,0.1286645,0.0140077,0.1436081,0.5374331,0.1299387,0,0.01671838,0.09643827,0.09836084,0,0.1504829,0.2446889,0.01682019,0
,0.2895893,0.02925491,0.0313572,0.1443617,0.1168048,0.04767843,0.02583199,0.1565635,0.1433523,0.3025493,0.02739858,0.04691358,0.003215533,0,0,0.5376939,0.04643381,0.0250362,0.041475,0.2469533,0,0.01393781,0,0.02441072,0.02920067,0.1778197,0,0.1072626,1.144785e-06,0,0.07465237,0.1038543,0.1158855,0,0.08890885,0.4172535,0.02449797,0,0.1195174,0.01374703,0.1416121,0.5373211,0.1198484,0,0.01660222,0.09348217,0.09536114,0,0.1507619,0.2469078,0.01736964,0
,0.2903209,0.02880706,0.03074826,0.1472784,0.1157167,0.0481602,0.02529,0.1554948,0.1471866,0.3029734,0.02678697,0.04265242,0.002968933,0,0,0.5379414,0.04215982,0.02630785,0.04602648,0.249796,0,0.01217932,0,0.02495514,0.02870767,0.1780701,0,0.1074571,1.079384e-06,0,0.07339811,0.1042973,0.1147725,0,0.08400746,0.4038866,0.02481241,0,0.1159522,0.01358471,0.1408837,0.5375676,0.1162005,0,0.01663649,0.09210601,0.09383112,0,0.1510253,0.2497572,0.01786993,0
,0.2904061,0.028589,0.03044579,0.1532902,0.1068815,0.04839619,0.02484426,0.1546734,0.1519577,0.3029677,0.02629548,0.03422699,0.002793679,0,0,0.536351,0.03380479,0.0285722,0.05784998,0.2563735,0,0.01051504,0,0.02566799,0.02824897,0.1784435,0,0.1077209,9.046049e-07,0,0.07290707,0.104825,0.1058716,0,0.07239784,0.3782094,0.02519487,0,0.1141508,0.0134874,0.140319,0.5360124,0.1142742,0,0.01683622,0.09043838,0.09224691,0,0.1509059,0.2563443,0.01845725,0
,0.2885236,0.02856939,0.03035561,0.1559746,0.1094586,0.04879482,0.02458404,0.154783,0.1540644,0.3021296,0.02601917,0.03106962,0.002589316,0,0,0.5362681,0.03067053,0.02966321,0.0571338,0.2592206,0,0.009450388,0,0.02633983,0.02775898,0.1795118,0,0.107789,1.655438e-06,0,0.07342941,0.1050942,0.1084505,0,0.07345627,0.3669001,0.02548692,0,0.1134969,0.01345732,0.1405733,0.5359422,0.1135672,0,0.01707288,0.0895657,0.09139383,0,0.1507694,0.2591853,0.01896467,0
,0.2343641,0.02897628,0.03064457,0.1632676,0.111237,0.04873415,0.02470312,0.1839242,0.1552205,0.2487752,0.0261885,0.05592582,0.002392747,0,0,0.543516,0.05539592,0.03005334,0.056347,0.2641848,0,0.01865497,0,0.0267172,0.02726189,0.2459737,0,0.1078257,1.808573e-06,0,0.1249905,0.1050744,0.110232,0,0.07440864,0.3217324,0.02556961,0,0.1141907,0.01389359,0.165343,0.5430726,0.1151552,0,0.01755334,0.08952924,0.09105616,0,0.1516454,0.2641218,0.01920249,0
,0.2206953,0.02957343,0.03113821,0.1656912,0.1110891,0.04828922,0.02513966,0.1952575,0.1554403,0.235284,0.02687588,0.06228579,0.002207299,0,0,0.5500351,0.06175262,0.03011489,0.05693895,0.2711338,0,0.03398486,0,0.02701726,0.02682241,0.2769865,0,0.1079773,2.621947e-06,0,0.138646,0.1050794,0.1100775,0,0.07451219,0.311,0.02554721,0,0.1176944,0.01569587,0.1808278,0.5496606,0.1185754,0,0.0185353,0.08981737,0.09096708,0,0.1567882,0.2710872,0.01942512,0
,0.2114204,0.03054493,0.03171419,0.1845981,0.1150627,0.04551114,0.0256987,0.2045282,0.1567988,0.2253065,0.02772667,0.06536306,0.002034197,0,0,0.5525292,0.06482549,0.02989515,0.05931534,0.2732947,0,0.04716723,0,0.02708491,0.02645446,0.3045407,0,0.108124,2.887541e-06,0,0.1513368,0.1049254,0.114037,0,0.07224888,0.3043924,0.025383,0,0.1190438,0.01937499,0.1884025,0.5521478,0.1200612,0,0.01928655,0.09089943,0.09103977,0,0.1589745,0.2732523,0.01948977,0
,0.2062692,0.03182337,0.03233268,0.1914606,0.1143805,0.04431779,0.02627003,0.2174622,0.157441,0.2194063,0.02847117,0.05502703,0.001873587,0,0,0.556504,0.05469571,0.02942756,0.05833391,0.2747882,0,0.05368186,0,0.02707008,0.02604855,0.3137521,0,0.1078235,5.581338e-06,0,0.1583715,0.1040321,0.1133602,0,0.07326977,0.3014261,0.02515334,0,0.1199658,0.02103087,0.1975955,0.5559584,0.1211688,0,0.01998601,0.09496593,0.09147274,0,0.1603988,0.2747495,0.0194876,0
,0.1861372,0.03816993,0.03599697,0.2087224,0.1115875,0.04279885,0.02730421,0.2228858,0.16029,0.1982333,0.03014508,0.05096408,0.00172508,0,0,0.5581496,0.05070708,0.02853695,0.05933023,0.287169,0,0.05854545,0,0.02698387,0.02565739,0.2826331,0,0.1074296,6.753008e-06,0,0.1726359,0.1030324,0.110562,0,0.07228493,0.2990304,0.0249784,0,0.121447,0.02332697,0.2017902,0.5575431,0.1251768,0,0.02109983,0.1068718,0.09646986,0,0.1612364,0.2871546,0.01926339,0
,0.1800617,0.04163718,0.03859321,0.2141251,0.1083853,0.04179631,0.02882823,0.225815,0.1614518,0.1918498,0.0321217,0.02923599,0.001588034,0,0,0.5586446,0.02895535,0.02781912,0.05970925,0.2954108,0,0.06092221,0,0.02687968,0.0253868,0.2764445,0.0001718826,0.1071425,6.895958e-06,0,0.1827419,0.1023379,0.1073585,0,0.07190968,0.29785,0.02489496,0.0001726024,0.1262508,0.02580529,0.2042071,0.5579937,0.1321084,0,0.02254149,0.1105106,0.09809633,0,0.1618025,0.2954058,0.01900536,0
,0.1773774,0.04555237,0.04201049,0.2159474,0.1041856,0.04005071,0.03054627,0.2325641,0.1616326,0.1891951,0.03477791,0.02269934,0.001461711,0,0,0.560673,0.02242288,0.02718653,0.06332868,0.2991072,0,0.06602283,0,0.02689283,0.02510061,0.2856404,0.000598677,0.107207,7.297062e-06,0,0.188768,0.1018447,0.1031403,0,0.06837213,0.2968096,0.0249196,0.0006034888,0.1315569,0.02790293,0.2104656,0.5599385,0.1383378,0,0.02547204,0.1123933,0.09890179,0,0.163222,0.2991081,0.01879455,0
,0.2355543,0.04695542,0.04319812,0.2089641,0.09951585,0.03935464,0.03119254,0.2345623,0.1603826,0.25087,0.03565445,0.01904005,0.001345347,0,0,0.5614742,0.01877041,0.0272162,0.06608547,0.3012117,0,0.06748909,0,0.02718603,0.02489343,0.2771685,0.003178233,0.1098572,4.111059e-06,0,0.1438125,0.1020621,0.09846302,0,0.06491363,0.2988012,0.02523204,0.003354843,0.1336288,0.02857774,0.2122668,0.5607008,0.1408857,0,0.02668917,0.112537,0.09891269,0,0.1638912,0.301216,0.01885917,0
,0.2700042,0.04557156,0.04305489,0.1649638,0.07678049,0.03944858,0.03076823,0.1830292,0.1496518,0.2831928,0.03419764,0.01377974,0.0012382,0,0,0.5491954,0.01366064,0.03045065,0.06837632,0.3124081,0,0.04096731,0,0.02775285,0.0248325,0.2390164,0.01229614,0.1144269,2.989364e-06,0,0.1035567,0.1083094,0.07573821,0,0.06144213,0.3105573,0.02571313,0.0132184,0.1259441,0.02762687,0.1665508,0.5485439,0.1308179,0,0.02720371,0.1020763,0.09617715,0,0.1634291,0.3124277,0.01933538,0
