browOuterUp_R,eyeWide_R,mouthFrown_L,mouthPress_L,browInnerUp,browOuterUp_L,noseSneer_R,eyeLookOut_R,mouthDimple_L,eyeBlink_L,eyeLookUp_L,cheekSquint_R,mouthDimple_R,eyeLookUp_R,jawOpen,mouthShrugLower,mouthFrown_R,cheekPuff,mouthRollLower,mouthFunnel,eyeSquint_L,eyeLookDown_R,mouthStretch_R,mouthStretch_L,eyeLookIn_L,mouthLowerDown_R,browDown_L,mouthUpperUp_L,noseSneer_L,eyeWide_L,jawRight,mouthRollUpper,jawForward,mouthLeft,mouthPress_R,mouthSmile_L,tongueOut,mouthUpperUp_R,jawLeft,eyeLookIn_R,mouthSmile_R,browDown_R,mouthShrugUpper,cheekSquint_L,eyeBlink_R,mouthLowerDown_L,eyeLookDown_L,mouthClose,mouthPucker,mouthRight,eyeLookOut_L,eyeSquint_R
2.533473e-11,0.0002808294,1.400129e-05,0.1058213,0.02873645,6.897357e-11,0.2637372,0,0.5027942,0.1657739,0,0.3486609,0.5089102,0,0.0009779858,0.7309965,1.537744e-05,0.0538169,0.1171149,0.09766115,0.358721,0.1212739,0.0651345,0.06371598,0.03874435,0.01745351,0.4642435,0.2095288,0.2678191,0.0002810205,0.01708,0.01403642,0.02448476,0.001241551,0.1058088,0.466687,1.485375e-05,0.2109955,0,0.08653376,0.4708914,0.4642407,0.157232,0.3300791,0.1657723,0.01774408,0.1217009,0.003365454,0.08421225,0.01304285,0,0.3586746
2.331575e-11,0.0002584496,1.28855e-05,0.1079174,0.02842953,6.347693e-11,0.2637933,0,0.5031357,0.1666195,0,0.3456933,0.5091289,0,0.0009854062,0.7310464,1.415198e-05,0.0542169,0.1190697,0.09789881,0.3622725,0.1228376,0.06484784,0.06349256,0.03868178,0.01769451,0.4672877,0.2097839,0.2676425,0.0002586254,0.01727492,0.014024,0.02458007,0.001142609,0.1075978,0.4631581,1.5801e-05,0.2112639,0,0.08657867,0.468096,0.4672856,0.1581255,0.3282257,0.1666126,0.0179824,0.1232613,0.00328058,0.08426861,0.01278413,0,0.3622335
2.145767e-11,0.0002378532,1.185863e-05,0.1095867,0.0281379,5.841833e-11,0.2636653,0,0.5034634,0.1673887,0,0.3444136,0.5095736,0,0.0009885202,0.732179,1.302419e-05,0.05458959,0.120024,0.09806073,0.3636957,0.1239773,0.06460596,0.06325526,0.0388108,0.01787414,0.4688163,0.2102607,0.2673664,0.000238015,0.01753144,0.01397806,0.02463065,0.001051552,0.1091467,0.4601204,2.945967e-05,0.2118141,0,0.08638725,0.4648176,0.4688145,0.1593301,0.3270806,0.1673784,0.01816373,0.1243959,0.003196825,0.08443537,0.0129138,0,0.3636575
1.974767e-11,0.0002188982,1.091359e-05,0.1106467,0.02789627,5.376285e-11,0.2633678,0,0.5040894,0.1680798,0,0.3434238,0.5108842,0,0.0009931477,0.7327859,1.198626e-05,0.05500665,0.1222085,0.09833318,0.3668665,0.1238342,0.06444633,0.06313606,0.03888517,0.01805584,0.4696883,0.2103985,0.2668569,0.0002190471,0.01780489,0.01398226,0.02472842,0.0009677519,0.1101595,0.4570227,3.166002e-05,0.2120563,0,0.08628365,0.4630328,0.4696868,0.1600551,0.3261363,0.1680654,0.01834844,0.1242474,0.00312368,0.08455998,0.01293463,0,0.3668108
1.817394e-11,0.0002014538,1.004387e-05,0.1113302,0.02771508,4.947838e-11,0.2629843,0,0.5025144,0.1689585,0,0.3416227,0.5108043,0,0.00100598,0.7310257,1.103105e-05,0.0552115,0.1230284,0.098554,0.3692066,0.124785,0.06442373,0.06308611,0.03876207,0.01836788,0.4703048,0.2105085,0.2662916,0.0002015908,0.01835198,0.01400622,0.02483823,0.0008906298,0.1108066,0.4558009,6.854693e-05,0.2122926,0,0.08640497,0.4622628,0.4703034,0.1622932,0.3222028,0.1689362,0.01866963,0.1251987,0.003065162,0.08471894,0.01339237,0,0.3691203
1.672562e-11,0.0001853995,9.24345e-06,0.1119216,0.02751401,4.553535e-11,0.2625858,0,0.5015422,0.1714503,0,0.3407052,0.5104941,0,0.001015976,0.7302477,1.015197e-05,0.05552598,0.1235453,0.09882432,0.3703486,0.1261565,0.06437653,0.06300247,0.03902324,0.01860707,0.4709926,0.2104408,0.2657242,0.0001855257,0.01899464,0.014016,0.0249048,0.0008196537,0.1113367,0.455024,9.201411e-05,0.2123343,0,0.08610511,0.4618035,0.4709913,0.163213,0.320642,0.1714109,0.01891872,0.1265706,0.003010496,0.08507173,0.01394454,0,0.3702497
1.539273e-11,0.0001706247,8.50682e-06,0.112429,0.02734608,4.190655e-11,0.2621789,0,0.500865,0.1723897,0,0.3399887,0.5103422,0,0.00102704,0.7300473,9.342934e-06,0.05561412,0.1238315,0.09902328,0.3702484,0.1269476,0.06440537,0.06294124,0.03913209,0.01886568,0.4714012,0.2106053,0.2651912,0.0001707408,0.01964885,0.01401028,0.0249653,0.0007543338,0.1117728,0.45457,8.431685e-05,0.2126471,0,0.08601635,0.4615713,0.4714002,0.165907,0.3194623,0.1723471,0.01918891,0.1273627,0.002963568,0.08541394,0.01475323,0,0.3701242
1.416605e-11,0.0001570273,7.828895e-06,0.1125704,0.02719368,3.856694e-11,0.2618728,0,0.4955079,0.1728302,0,0.3394305,0.5085799,0,0.001043791,0.7264467,8.598377e-06,0.05567507,0.1238278,0.09932671,0.3699745,0.1272142,0.06439447,0.06284992,0.03808325,0.01921068,0.4715513,0.2105563,0.2647346,0.0001571341,0.02023268,0.01403322,0.025043,0.0006942194,0.1118908,0.4554026,9.492206e-05,0.212807,0,0.08709756,0.4640267,0.4715507,0.1670175,0.3185354,0.1727875,0.0195437,0.1276361,0.002929342,0.085915,0.01541517,0,0.3698411
1.303713e-11,0.0001445135,7.204995e-06,0.112651,0.02711402,3.549346e-11,0.2615774,0,0.4938811,0.1729683,0,0.3388785,0.5079172,0,0.001061361,0.7245774,7.913155e-06,0.055723,0.1239038,0.09961446,0.3694389,0.1268021,0.06441095,0.06281015,0.03759905,0.01952269,0.4708612,0.2103619,0.2642832,0.0001446118,0.02076604,0.01407781,0.02515284,0.0006388957,0.1119897,0.4559003,6.544019e-05,0.212791,0,0.08758084,0.4649888,0.470862,0.1675713,0.3177347,0.1729267,0.01986851,0.1272261,0.002902441,0.08624027,0.01591605,0,0.3693002
1.199818e-11,0.0001329969,6.630814e-06,0.1128944,0.02701199,3.266492e-11,0.2614296,0,0.4932389,0.1729494,0,0.3387246,0.5076929,0,0.001068695,0.724479,7.28254e-06,0.05583655,0.1239235,0.09971179,0.3684317,0.1267646,0.06441158,0.06274001,0.03754215,0.01967933,0.470565,0.2102385,0.2639349,0.0001330874,0.02113973,0.01406896,0.02518232,0.0005879808,0.1122362,0.4561518,6.820566e-05,0.2128561,0,0.08762755,0.4654537,0.4705663,0.168015,0.3173464,0.1729092,0.0200299,0.1271888,0.002868626,0.08657946,0.01649027,0,0.3682982
